"Trial#","S1","S2","S3","Cum Prob"
1,0,1,0,1
2,0,1,0,1
3,0,1,0,1
4,0,1,0,1
5,0,1,0,1
6,0,1,0,1
7,0,1,0,1
8,0,1,0,1
9,0,1,0,1
10,0,1,0,1
11,0,1,0,1
12,0,1,0,1
13,0,1,0,1
14,0,1,0,1
15,0,1,0,1
16,0,1,0,1
17,0,1,0,1
18,0,0,1,1
19,0,0,1,1
20,0,1,0,1
21,1,0,0,1
22,0,1,0,1
23,0,1,0,1
24,0,1,0,1
25,0,1,0,1
26,0,1,0,1
27,0,1,0,1
28,0,1,0,1
29,0,1,0,1
30,0,1,0,1
31,0,1,0,1
32,0,1,0,1
33,0,1,0,1
34,0,1,0,1
35,0,1,0,1
36,0,1,0,1
37,0,1,0,1
38,0,1,0,1
39,0,1,0,1
40,0,1,0,1
41,1,0,0,1
42,0,1,0,1
43,0,1,0,1
44,0,1,0,1
45,0,1,0,1
46,0,0,1,1
47,0,1,0,1
48,0,1,0,1
49,0,1,0,1
50,0,1,0,1
51,0,1,0,1
52,0,1,0,1
53,1,0,0,1
54,0,0,1,1
55,0,1,0,1
56,0,1,0,1
57,0,1,0,1
58,0,1,0,1
59,0,1,0,1
60,0,1,0,1
61,0,1,0,1
62,0,1,0,1
63,0,1,0,1
64,0,1,0,1
65,0,1,0,1
66,0,1,0,1
67,0,1,0,1
68,0,1,0,1
69,0,1,0,1
70,0,1,0,1
71,0,0,1,1
72,0,1,0,1
73,0,1,0,1
74,0,1,0,1
75,0,1,0,1
76,0,1,0,1
77,0,1,0,1
78,0,0,1,1
79,0,1,0,1
80,0,0,1,1
81,0,0,1,1
82,0,1,0,1
83,0,1,0,1
84,0,1,0,1
85,0,1,0,1
86,0,1,0,1
87,0,1,0,1
88,0,1,0,1
89,0,1,0,1
90,0,0,1,1
91,0,1,0,1
92,0,1,0,1
93,0,1,0,1
94,0,1,0,1
95,0,1,0,1
96,0,0,1,1
97,0,1,0,1
98,0,1,0,1
99,0,1,0,1
100,0,0,1,1
101,0,0,0,0.99009900990099
102,0,1,0,0.990196078431373
103,0,1,0,0.990291262135922
104,0,1,0,0.990384615384615
105,0,1,0,0.990476190476191
106,0,1,0,0.990566037735849
107,0,1,0,0.990654205607477
108,0,1,0,0.990740740740741
109,0,1,0,0.990825688073395
110,0,0,1,0.990909090909091
111,0,1,0,0.990990990990991
112,0,1,0,0.991071428571429
113,0,0,1,0.991150442477876
114,0,1,0,0.991228070175439
115,0,0,1,0.991304347826087
116,0,1,0,0.991379310344828
117,0,1,0,0.991452991452991
118,0,1,0,0.991525423728814
119,0,1,0,0.991596638655462
120,0,1,0,0.991666666666667
121,0,1,0,0.991735537190083
122,0,1,0,0.991803278688525
123,0,0,1,0.991869918699187
124,0,1,0,0.991935483870968
125,0,1,0,0.992
126,0,1,0,0.992063492063492
127,0,0,1,0.992125984251969
128,0,1,0,0.9921875
129,0,1,0,0.992248062015504
130,0,1,0,0.992307692307692
131,0,1,0,0.99236641221374
132,0,1,0,0.992424242424242
133,0,1,0,0.992481203007519
134,0,1,0,0.992537313432836
135,1,0,0,0.992592592592593
136,0,0,1,0.992647058823529
137,0,1,0,0.992700729927007
138,0,1,0,0.992753623188406
139,0,0,1,0.992805755395683
140,0,1,0,0.992857142857143
141,0,1,0,0.99290780141844
142,0,1,0,0.992957746478873
143,0,1,0,0.993006993006993
144,0,0,1,0.993055555555556
145,1,0,0,0.993103448275862
146,0,1,0,0.993150684931507
147,0,0,1,0.993197278911565
148,0,1,0,0.993243243243243
149,0,1,0,0.993288590604027
150,0,1,0,0.993333333333333
151,0,0,1,0.993377483443709
152,0,0,1,0.993421052631579
153,0,1,0,0.993464052287582
154,0,1,0,0.993506493506494
155,0,1,0,0.993548387096774
156,0,1,0,0.993589743589744
157,0,1,0,0.993630573248408
158,0,1,0,0.993670886075949
159,0,1,0,0.993710691823899
160,0,1,0,0.99375
161,0,1,0,0.993788819875776
162,0,1,0,0.993827160493827
163,0,1,0,0.993865030674847
164,0,1,0,0.99390243902439
165,0,1,0,0.993939393939394
166,0,1,0,0.993975903614458
167,0,0,1,0.994011976047904
168,0,1,0,0.994047619047619
169,0,1,0,0.994082840236686
170,0,1,0,0.994117647058824
171,0,1,0,0.994152046783626
172,0,1,0,0.994186046511628
173,0,1,0,0.994219653179191
174,0,1,0,0.994252873563218
175,0,1,0,0.994285714285714
176,0,1,0,0.994318181818182
177,0,1,0,0.994350282485876
178,0,1,0,0.99438202247191
179,0,1,0,0.994413407821229
180,0,1,0,0.994444444444444
181,0,0,1,0.994475138121547
182,0,1,0,0.994505494505495
183,0,1,0,0.994535519125683
184,0,0,1,0.994565217391304
185,0,1,0,0.994594594594595
186,0,0,1,0.994623655913978
187,0,1,0,0.994652406417112
188,0,1,0,0.99468085106383
189,0,1,0,0.994708994708995
190,1,0,0,0.994736842105263
191,0,1,0,0.994764397905759
192,0,1,0,0.994791666666667
193,0,1,0,0.994818652849741
194,0,0,1,0.994845360824742
195,0,1,0,0.994871794871795
196,0,1,0,0.994897959183674
197,0,1,0,0.99492385786802
198,0,1,0,0.994949494949495
199,0,1,0,0.994974874371859
200,0,1,0,0.995
201,0,1,0,0.995024875621891
202,0,1,0,0.995049504950495
203,0,1,0,0.995073891625616
204,0,1,0,0.995098039215686
205,0,0,1,0.995121951219512
206,0,1,0,0.995145631067961
207,0,0,0,0.990338164251208
208,0,1,0,0.990384615384615
209,0,1,0,0.990430622009569
210,0,1,0,0.990476190476191
211,0,0,1,0.990521327014218
212,0,1,0,0.990566037735849
213,0,1,0,0.990610328638498
214,0,1,0,0.990654205607477
215,0,1,0,0.990697674418605
216,0,1,0,0.990740740740741
217,0,1,0,0.990783410138249
218,0,1,0,0.990825688073395
219,0,1,0,0.990867579908676
220,0,1,0,0.990909090909091
221,0,1,0,0.990950226244344
222,0,1,0,0.990990990990991
223,0,0,1,0.991031390134529
224,0,1,0,0.991071428571429
225,0,1,0,0.991111111111111
226,0,1,0,0.991150442477876
227,0,1,0,0.991189427312775
228,0,1,0,0.991228070175439
229,0,1,0,0.991266375545852
230,0,1,0,0.991304347826087
231,0,1,0,0.991341991341991
232,0,1,0,0.991379310344828
233,0,1,0,0.991416309012876
234,0,1,0,0.991452991452991
235,0,1,0,0.991489361702128
236,0,0,1,0.991525423728814
237,0,1,0,0.991561181434599
238,0,1,0,0.991596638655462
239,0,1,0,0.99163179916318
240,0,1,0,0.991666666666667
241,0,1,0,0.991701244813278
242,0,1,0,0.991735537190083
243,0,1,0,0.991769547325103
244,0,1,0,0.991803278688525
245,0,1,0,0.991836734693878
246,0,1,0,0.991869918699187
247,0,1,0,0.991902834008097
248,0,1,0,0.991935483870968
249,0,0,1,0.991967871485944
250,0,0,1,0.992
251,0,1,0,0.99203187250996
252,0,1,0,0.992063492063492
253,0,1,0,0.992094861660079
254,0,1,0,0.992125984251969
255,0,0,1,0.992156862745098
256,0,0,0,0.98828125
257,0,1,0,0.988326848249027
258,0,0,1,0.988372093023256
259,0,1,0,0.988416988416988
260,0,1,0,0.988461538461539
261,1,0,0,0.988505747126437
262,0,0,1,0.988549618320611
263,0,1,0,0.988593155893536
264,0,1,0,0.988636363636364
