"Trial#","S1","S2","S3","Cum Prob"
4206,0,1,0,0.998335710889206
4207,0,1,0,0.998336106489185
4208,0,1,0,0.998336501901141
4209,0,1,0,0.998336897125208
4210,0,1,0,0.99833729216152
4211,0,1,0,0.998337687010211
4212,0,1,0,0.998338081671415
4213,0,1,0,0.998338476145265
4214,0,1,0,0.998338870431894
4215,0,1,0,0.998339264531435
4216,0,1,0,0.998339658444023
4217,0,1,0,0.998340052169789
4218,0,1,0,0.998340445708867
4219,0,1,0,0.998340839061389
4220,0,1,0,0.998341232227488
4221,0,0,1,0.998341625207297
4222,0,1,0,0.998342018000947
4223,0,1,0,0.998342410608572
4224,0,1,0,0.998342803030303
4225,0,1,0,0.998343195266272
4226,0,1,0,0.998343587316611
4227,0,1,0,0.998343979181453
4228,0,1,0,0.998344370860927
4229,0,1,0,0.998344762355167
4230,0,1,0,0.998345153664303
4231,0,1,0,0.998345544788466
4232,0,1,0,0.998345935727788
4233,0,1,0,0.9983463264824
4234,0,1,0,0.998346717052433
4235,0,1,0,0.998347107438017
4236,0,0,1,0.998347497639282
4237,0,1,0,0.998347887656361
4238,0,1,0,0.998348277489382
4239,0,1,0,0.998348667138476
4240,1,0,0,0.998349056603774
4241,0,1,0,0.998349445885404
4242,0,1,0,0.998349834983498
4243,0,1,0,0.998350223898185
4244,0,1,0,0.998350612629595
4245,0,1,0,0.998351001177856
4246,0,1,0,0.998351389543099
4247,0,1,0,0.998351777725453
4248,0,0,1,0.998352165725047
4249,0,1,0,0.99835255354201
4250,0,1,0,0.998352941176471
4251,0,1,0,0.998353328628558
4252,0,1,0,0.998353715898401
4253,0,1,0,0.998354102986127
4254,0,1,0,0.998354489891866
4255,0,1,0,0.998354876615746
4256,0,1,0,0.998355263157895
4257,0,1,0,0.99835564951844
4258,0,1,0,0.998356035697511
4259,0,1,0,0.998356421695234
4260,0,1,0,0.998356807511737
4261,0,1,0,0.998357193147149
4262,0,0,1,0.998357578601595
4263,0,1,0,0.998357963875205
4264,0,1,0,0.998358348968105
4265,0,1,0,0.998358733880422
4266,0,1,0,0.998359118612283
4267,0,1,0,0.998359503163815
4268,0,1,0,0.998359887535145
4269,0,1,0,0.9983602717264
4270,0,1,0,0.998360655737705
4271,0,1,0,0.998361039569188
4272,0,1,0,0.998361423220974
4273,0,1,0,0.99836180669319
4274,0,1,0,0.998362189985962
4275,0,1,0,0.998362573099415
4276,0,1,0,0.998362956033676
4277,0,1,0,0.998363338788871
4278,0,1,0,0.998363721365124
4279,0,1,0,0.998364103762561
4280,0,1,0,0.998364485981308
4281,0,1,0,0.99836486802149
4282,0,1,0,0.998365249883232
4283,0,1,0,0.998365631566659
4284,0,1,0,0.998366013071895
4285,0,1,0,0.998366394399066
4286,0,0,1,0.998366775548297
4287,0,1,0,0.998367156519711
4288,0,1,0,0.998367537313433
4289,0,1,0,0.998367917929587
4290,0,0,1,0.998368298368298
4291,0,0,1,0.99836867862969
4292,0,1,0,0.998369058713886
4293,0,1,0,0.998369438621011
4294,0,1,0,0.998369818351188
4295,0,1,0,0.99837019790454
4296,0,1,0,0.998370577281192
4297,0,1,0,0.998370956481266
4298,0,0,1,0.998371335504886
4299,0,1,0,0.998371714352175
4300,0,1,0,0.998372093023256
4301,0,1,0,0.998372471518252
4302,0,0,1,0.998372849837285
4303,0,1,0,0.998373227980479
4304,0,1,0,0.998373605947955
4305,0,1,0,0.998373983739837
4306,0,1,0,0.998374361356247
4307,0,1,0,0.998374738797307
4308,0,1,0,0.998375116063138
4309,0,1,0,0.998375493153864
4310,0,1,0,0.998375870069606
4311,0,1,0,0.998376246810485
4312,0,0,1,0.998376623376623
4313,0,1,0,0.998376999768143
4314,0,0,0,0.998145572554474
4315,0,1,0,0.998146002317497
4316,0,1,0,0.998146431881372
4317,0,1,0,0.998146861246236
4318,0,1,0,0.998147290412228
4319,0,1,0,0.998147719379486
4320,0,1,0,0.998148148148148
4321,0,1,0,0.998148576718352
4322,0,1,0,0.998149005090236
4323,0,1,0,0.998149433263937
4324,0,0,1,0.998149861239593
4325,0,1,0,0.998150289017341
4326,0,1,0,0.998150716597319
4327,0,1,0,0.998151143979663
4328,0,1,0,0.99815157116451
4329,0,1,0,0.998151998151998
4330,0,1,0,0.998152424942263
4331,0,1,0,0.998152851535442
4332,0,1,0,0.998153277931671
4333,0,1,0,0.998153704131087
4334,0,1,0,0.998154130133826
4335,0,1,0,0.998154555940023
4336,0,1,0,0.998154981549816
4337,0,1,0,0.998155406963339
4338,0,1,0,0.998155832180728
4339,0,1,0,0.99815625720212
4340,0,1,0,0.99815668202765
4341,0,1,0,0.998157106657452
4342,0,1,0,0.998157531091663
4343,1,0,0,0.998157955330417
4344,0,1,0,0.998158379373849
4345,0,1,0,0.998158803222094
4346,0,1,0,0.998159226875288
4347,0,1,0,0.998159650333563
4348,0,1,0,0.998160073597056
4349,0,1,0,0.9981604966659
4350,0,0,0,0.997931034482759
4351,0,0,1,0.997931509997702
4352,1,0,0,0.997931985294118
4353,0,1,0,0.997932460372157
4354,0,1,0,0.997932935231971
4355,0,1,0,0.997933409873708
4356,0,1,0,0.997933884297521
4357,0,1,0,0.997934358503557
4358,0,1,0,0.997934832491969
4359,0,1,0,0.997935306262904
4360,0,1,0,0.997935779816514
4361,0,0,0,0.997706947947718
4362,0,1,0,0.997707473635947
4363,0,1,0,0.9977079990832
4364,0,1,0,0.997708524289643
4365,0,1,0,0.997709049255441
4366,0,1,0,0.99770957398076
4367,0,1,0,0.997710098465766
4368,0,1,0,0.997710622710623
